,Pertamina Dex,Dexlite,Pertamax Turbo,Pertamax Green 95,Pertamax,Pertalite,Biosolar
Jul-25,13.65,13.32,13.5,13.25,12.5,10,6.8
Jun-25,13.2,12.74,13.05,12.8,12.1,10,6.8
May-25,13.75,13.35,13.3,13.15,12.4,10,6.8
Apr-25,13.9,13.6,13.5,13.25,12.5,10,6.8
Mar-25,14.6,14.3,14,13.7,12.9,10,6.8
Feb-25,14.8,14.6,14,13.7,12.9,10,6.8
Jan-25,13.9,13.6,13.7,13.4,12.5,10,6.8
Dec-24,13.8,13.4,13.55,13.15,12.1,10,6.8
Nov-24,13.44,13.05,13.5,13.15,12.1,10,6.8
Oct-24,13.15,12.7,13.25,12.7,12.1,10,6.8
Sep-24,14.55,14.05,14.47,13.65,12.95,10,6.8
Aug-24,15.65,15.35,15.4,15,13.7,10,6.8
Jul-27,15.1,14.55,14.4,13.9,12.95,10,6.8
Jun-24,15.1,14.55,14.4,13.9,12.95,10,6.8
May-24,15.1,14.55,14.4,13.9,12.95,10,6.8
Apr-24,15.1,14.55,14.4,13.9,12.95,10,6.8
Mar-24,15.1,14.55,14.4,13.9,12.95,10,6.8
Feb-24,15.1,14.55,14.4,13.9,12.95,10,6.8
Jan-24,15.1,14.55,14.4,13.9,12.95,10,6.8
Dec-23,16.2,15.5,15.35,14.9,13.35,10,6.8
Nov-23,17.75,16.95,15.5,15,13.4,10,6.8
Oct-23,17.9,17.2,16.6,16,14,10,6.8
Sep-23,16.9,16.35,15.9,15,13.3,10,6.8
Aug-23,14.35,13.95,14.4,13.5,12.4,10,6.8
Jul-23,13.55,13.15,14,13.5,12.4,10,6.8
Jun-23,13.25,12.65,13.6,13.5,12.4,10,6.8
May-23,14.6,13.7,15,0,13.3,10,6.8
Apr-23,15.4,14.25,15,0,13.3,10,6.8
Mar-23,15.85,14.95,15.1,0,13.3,10,6.8
Feb-23,16.85,16.15,14.8,0,12.8,10,6.8
Jan-23,16.75,16.15,14.05,0,12.8,10,6.8
Dec-22,18.8,18.3,15.2,0,13.9,10,6.8
Nov-22,18.55,18,14.3,0,13.9,10,6.8
Oct-22,17.4,17.1,14.95,0,13.9,10,6.8
Sep-22,17.4,17.1,15.9,0,12.5,7.65,5.15
Aug-22,18.9,17.8,17.9,0,12.5,7.65,5.15
Jul-22,16.5,15,16.2,0,12.5,7.65,5.15
Jun-22,13.7,12.95,14.5,0,12.5,7.65,5.15
May-22,13.7,12.95,14.5,0,12.5,7.65,5.15
Apr-22,13.7,12.95,14.5,0,12.5,7.65,5.15
Mar-22,13.2,12.15,13.5,0,9,7.65,5.15
Feb-22,13.2,12.15,13.5,0,9,7.65,5.15
Jan-22,11.15,9.5,12,0,9,7.65,5.15
Dec-21,11.15,9.5,12,0,9,7.65,5.15
Nov-21,11.15,9.5,12,0,9,7.65,5.15
Oct-21,11.15,9.5,12,0,9,7.65,5.15
Sep-21,11.15,9.5,12.3,0,9,7.65,5.15
Aug-21,10.2,9.5,9.85,0,9,7.65,5.15
Jul-21,10.2,9.5,9.85,0,9,7.65,5.15
Jun-21,10.2,9.5,9.85,0,9,7.65,5.15
May-21,10.2,9.5,9.85,0,9,7.65,5.15
Apr-21,10.2,9.5,9.85,0,9,7.65,5.15
Mar-21,10.2,9.5,9.85,0,9,7.65,5.15
Feb-21,10.2,9.5,9.85,0,9,7.65,5.15
Jan-21,10.2,9.5,9.85,0,9,7.65,5.15
