waktu,inflasi_bulanan
1/1/2021,0.26
2/1/2021,0.36
3/1/2021,0.44
4/1/2021,0.58
5/1/2021,0.9
6/1/2021,0.74
7/1/2021,0.81
8/1/2021,0.84
9/1/2021,0.8
10/1/2021,0.93
11/1/2021,1.3
12/1/2021,1.87
1/1/2022,0.56
2/1/2022,0.54
3/1/2022,1.2
4/1/2022,2.15
5/1/2022,2.56
6/1/2022,3.19
7/1/2022,3.85
8/1/2022,3.63
9/1/2022,4.84
10/1/2022,4.73
11/1/2022,4.82
12/1/2022,5.51
1/1/2023,0.34
2/1/2023,0.5
3/1/2023,0.68
4/1/2023,1.01
5/1/2023,1.1
6/1/2023,1.24
7/1/2023,1.45
8/1/2023,1.43
9/1/2023,1.63
10/1/2023,1.8
11/1/2023,2.19
12/1/2023,2.61
1/1/2024,0.04
2/1/2024,0.41
3/1/2024,0.93
4/1/2024,1.19
5/1/2024,1.16
6/1/2024,1.07
7/1/2024,0.89
8/1/2024,0.87
9/1/2024,0.74
10/1/2024,0.82
11/1/2024,1.12
12/1/2024,1.57
1/1/2025,-0.76
2/1/2025,-1.24
3/1/2025,0.39
4/1/2025,1.56
5/1/2025,1.19
6/1/2025,1.38
7/1/2025,1.69
