waktu,suku_bunga
1/1/2021,0.0375
2/1/2021,0.035
3/1/2021,0.035
4/1/2021,0.035
5/1/2021,0.035
6/1/2021,0.035
7/1/2021,0.035
8/1/2021,0.035
9/1/2021,0.035
10/1/2021,0.035
11/1/2021,0.035
12/1/2021,0.035
1/1/2022,0.035
2/1/2022,0.035
3/1/2022,0.035
4/1/2022,0.035
5/1/2022,0.035
6/1/2022,0.035
7/1/2022,0.035
8/1/2022,0.0375
9/1/2022,0.0425
10/1/2022,0.0475
11/1/2022,0.0525
12/1/2022,0.055
1/1/2023,0.0575
2/1/2023,0.0575
3/1/2023,0.0575
4/1/2023,0.0575
5/1/2023,0.0575
6/1/2023,0.0575
7/1/2023,0.0575
8/1/2023,0.0575
9/1/2023,0.0575
10/1/2023,0.06
11/1/2023,0.06
12/1/2023,0.06
1/1/2024,0.06
2/1/2024,0.06
3/1/2024,0.06
4/1/2024,0.0625
5/1/2024,0.0625
6/1/2024,0.0625
7/1/2024,0.0625
8/1/2024,0.0625
9/1/2024,0.06
10/1/2024,0.06
11/1/2024,0.06
12/1/2024,0.06
1/1/2025,0.0575
2/1/2025,0.0575
3/1/2025,0.0575
4/1/2025,0.0575
5/1/2025,0.055
6/1/2025,0.055
7/1/2025,0.0525
